# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on May 15 2023 at 09:48:48+0200
# parameter filename: "TOV_example.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_example-libaas504-p028.laboratori.local-o.rossi-2023.05.15-07.48.40-12045
# Run ID: run-TOV_example-libaas504-p028.laboratori.local-o.rossi-2023.05.15-07.48.40-12045
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
24064 23.5 1603.45074697278 1588.85727621041 59.3643019199371 52.7612090110779 53.104026556015 0 6.26287746429443 141 213194.811317501 213194.811317501 11248416 11248416 104673.264762383 104673.264762383 5522688 5522688 425.220912061004 1139281.83432679 13094.9511378426 1126186.88318895 2666 7132425 82185 7050240 0 0 0 0 58.8626708984375 1684136980.86664 30299
24576 24 1606.02509320077 1589.04273959091 60.4005088806152 53.797415971756 54.0762867927551 0 6.39355659484863 144 213537.096391974 213537.096391974 11487744 11487744 104841.318084146 104841.318084146 5640192 5640192 434.519844784551 1152589.50408973 13198.7774686521 1139390.72662108 2812 7721433 83673 7637760 0 0 0 0 59.8870017528534 1684136981.90284 30938
25088 24.5 1587.07697608961 1588.66554781502 62.1769568920135 55.5738639831543 55.7722747325897 0 6.42556715011597 147 211017.754740875 211017.754740875 11727072 11727072 103604.38499913 103604.38499913 5757696 5757696 442.488780778928 1205785.67488113 13258.1130314262 1192527.5618497 2838 7722881 85121 7637760 0 0 0 0 61.6545746326447 1684136983.67929 31577
25600 25 1592.41377193553 1588.60418433469 63.1210668087006 56.5179738998413 56.684700012207 0 6.43920278549194 150 211727.335116548 211727.335116548 11966400 11966400 103952.771031951 103952.771031951 5875200 5875200 444.3500643186 1200081.69891872 13424.6544257038 1186657.04449302 2864 7724365 86605 7637760 0 0 0 0 62.5876986980438 1684136984.6234 32216
26112 25.5 1600.30187512741 1588.66801452061 63.9672698974609 57.3641769886017 57.5172834396362 0 6.45250964164734 153 212776.137316941 212776.137316941 12205728 12205728 104467.706408317 104467.706408317 5992704 5992704 447.442799899043 1197770.73184825 13619.4084397545 1184151.3234085 2890 7725813 88053 7637760 0 0 0 0 63.4230237007141 1684136985.4696 32855
26624 26 1605.92123887023 1588.84477297549 64.8873958587646 58.2843029499054 58.3713099956512 0 6.57294511795044 156 213523.287920186 213523.287920186 12445056 12445056 104834.538473449 104834.538473449 6110208 6110208 456.102031562238 1209716.56383817 13710.2244931614 1196006.33934501 3036 8314818 89538 8225280 0 0 0 0 64.3317499160767 1684136986.38973 33494
27136 26.5 1588.96889303098 1588.58447493635 66.6420278549194 60.0389349460602 60.0579488277435 0 6.58651781082153 159 211269.304017399 211269.304017399 12684384 12684384 103727.889337062 103727.889337062 6227712 6227712 464.453720463872 1263056.37670437 13788.2609891667 1249268.1157152 3062 8316271 90991 8225280 0 0 0 0 66.0770196914673 1684136988.14436 34133
27648 27 1595.08867450411 1588.5647387567 67.5401439666748 60.9370510578156 60.9426186084747 0 6.60012245178223 162 212082.990162066 212082.990162066 12923712 12923712 104127.388671628 104127.388671628 6345216 6345216 467.447994901132 1260708.6063962 13986.6078552178 1246721.99854098 3088 8317757 92477 8225280 0 0 0 0 66.964638710022 1684136989.04248 34772
28160 27.5 1603.14213252648 1588.65571366903 68.3568189144135 61.7537260055542 61.7451181411743 0 6.61418867111206 165 213153.777940721 213153.777940721 13163040 13163040 104653.118411328 104653.118411328 6462720 6462720 470.378213815684 1258223.6077094 14174.5676663596 1244049.04004304 3114 8319205 93925 8225280 0 0 0 0 67.7708275318146 1684136989.85915 35411
28672 28 1606.71305062058 1588.86875604879 69.339870929718 62.7367780208588 62.6560461521149 0 6.75888276100159 168 213628.567210512 213628.567210512 13402368 13402368 104886.227944511 104886.227944511 6580224 6580224 478.169327644478 1268138.42104334 14245.5858985197 1253892.83514482 3260 8908215 95415 8812800 0 0 0 0 68.739693403244 1684136990.84221 36050
