# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 15:26:43+0200
# parameter filename: "TOV_90_controlres.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90_controlres-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.26.38-34751
# Run ID: run-TOV_90_controlres-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.26.38-34751
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
15360 15 1655.98012652024 1647.64158786222 37.3400130271912 32.6090869903564 31.6367938518524 0 5.70562815666199 90 220179.117622131 220179.117622131 7179840 7179840 108102.382659241 108102.382659241 3525120 3525120 305.090852465205 834239.725622574 10115.6904944957 824124.035128079 1744 4758050 57890 4700160 0 0 0 0 37.0129156112671 1688995636.02812 19436
15872 15.5 1671.11264298988 1647.84864065215 38.1218528747559 33.3909268379211 32.3912193775177 0 5.73304653167725 93 222191.137011934 222191.137011934 7419168 7419168 109090.233334379 109090.233334379 3642624 3642624 308.168372807494 830500.677157894 10319.1034688398 820181.573689054 1770 4759500 59340 4700160 0 0 0 0 37.7843425273895 1688995636.80996 20075
16384 16 1680.18466904918 1648.43954931444 39.0128719806671 34.2819459438324 33.2163980007172 0 5.85523891448975 96 223397.353596779 223397.353596779 7658496 7658496 109682.455195531 109682.455195531 3760128 3760128 319.504582683556 848155.278019975 10459.8071534039 837695.470866571 1916 5348507 60827 5287680 0 0 0 0 38.628294467926 1688995637.70098 20714
16896 16.5 1631.37200340683 1646.55683965745 41.1419959068298 36.4110698699951 35.2761919498444 0 5.86823225021362 99 216907.221572972 216907.221572972 7897824 7897824 106495.964382398 106495.964382398 3877632 3877632 330.389493786623 912022.467718017 10580.8173023048 901441.650415712 1942 5349949 62269 5287680 0 0 0 0 40.7836422920227 1688995639.8301 21353
17408 17 1644.7278223901 1646.23320879549 41.9407300949097 37.209804058075 36.0619480609894 0 5.88164830207825 102 218683.011264988 218683.011264988 8137152 8137152 107367.832245626 107367.832245626 3995136 3995136 334.082806381971 910262.868928227 10811.2530169139 899451.615911313 1968 5351434 63754 5287680 0 0 0 0 41.5719239711761 1688995640.62884 21992
17920 17.5 1654.63931847342 1646.15382289895 42.8056890964508 38.0747630596161 36.9132018089294 0 5.89493775367737 105 220000.843784226 220000.843784226 8376480 8376480 108014.854709945 108014.854709945 4112640 4112640 337.718166013572 908390.589375641 11030.9953723026 897359.594003338 1994 5352885 65205 5287680 0 0 0 0 42.426157951355 1688995641.4938 22631
18432 18 1663.91102550668 1646.3412627117 43.6753160953522 38.9443900585175 37.7181491851807 0 6.01421737670898 108 221233.609951368 221233.609951368 8615808 8615808 108620.111745076 108620.111745076 4230144 4230144 348.48780155133 924883.435881667 11160.506496214 913722.929385453 2140 5941882 66682 5875200 0 0 0 0 43.2851042747498 1688995642.36342 23270
18944 18.5 1634.78255841684 1645.29649929563 45.4702889919281 40.7393629550934 39.4449570178986 0 6.02782416343689 111 217360.688967104 217360.688967104 8855136 8855136 106718.605413452 106718.605413452 4347648 4347648 358.818403586504 986356.772641929 11273.5697041723 975083.202937757 2166 5943333 68133 5875200 0 0 0 0 45.0697014331818 1688995644.1584 23909
19456 19 1645.10888450933 1645.06786980267 46.3087210655212 41.5777950286865 40.269873380661 0 6.0412585735321 114 218733.67728436 218733.67728436 9094464 9094464 107392.707980769 107392.707980769 4465152 4465152 362.320779423772 984396.909844827 11496.0673994225 972900.842445405 2192 5944819 69619 5875200 0 0 0 0 45.8977317810059 1688995644.99683 24548
19968 19.5 1656.97911995148 1645.08391166355 47.0971810817719 42.3662550449371 41.0432941913605 0 6.05632495880127 117 220311.943788749 220311.943788749 9333792 9333792 108167.596950433 108167.596950433 4582656 4582656 365.715455223768 982188.981663638 11705.0419478823 970483.939715756 2218 5946267 71067 5875200 0 0 0 0 46.6754860877991 1688995645.78529 25187
