# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
241152 58.875 1.10622166015084e-10
241664 59 1.10622166015084e-10
242176 59.125 1.10622166015084e-10
242688 59.25 1.10622166015084e-10
243200 59.375 1.10622166015084e-10
243712 59.5 1.10622166015084e-10
244224 59.625 1.10622166015084e-10
244736 59.75 1.10622166015084e-10
245248 59.875 1.10622166015084e-10
245760 60 1.10622166015084e-10
246272 60.125 1.10622166015084e-10
246784 60.25 1.10622166015084e-10
247296 60.375 1.10622166015084e-10
247808 60.5 1.10622166015084e-10
248320 60.625 1.10622166015084e-10
248832 60.75 1.10622166015084e-10
249344 60.875 1.10622166015084e-10
249856 61 1.10622166015084e-10
250368 61.125 1.10622166015084e-10
250880 61.25 1.10622166015084e-10
251392 61.375 1.10622166015084e-10
251904 61.5 1.10622166015084e-10
252416 61.625 1.10622166015084e-10
252928 61.75 1.10622166015084e-10
253440 61.875 1.10622166015084e-10
253952 62 1.10622166015084e-10
254464 62.125 1.10622166015084e-10
254976 62.25 1.10622166015084e-10
255488 62.375 1.10622166015084e-10
256000 62.5 1.10622166015084e-10
256512 62.625 1.10622166015084e-10
257024 62.75 1.10622166015084e-10
257536 62.875 1.10622166015084e-10
258048 63 1.10622166015084e-10
258560 63.125 1.10622166015084e-10
259072 63.25 1.10622166015084e-10
259584 63.375 1.10622166015084e-10
260096 63.5 1.10622166015084e-10
260608 63.625 1.10622166015084e-10
261120 63.75 1.10622166015084e-10
261632 63.875 1.10622166015084e-10
262144 64 1.10622166015084e-10
262656 64.125 1.10622166015084e-10
263168 64.25 1.10622166015084e-10
263680 64.375 1.10622166015084e-10
264192 64.5 1.10622166015084e-10
264704 64.625 1.10622166015084e-10
265216 64.75 1.10622166015084e-10
265728 64.875 1.10622166015084e-10
266240 65 1.10622166015084e-10
266752 65.125 1.10622166015084e-10
267264 65.25 1.10622166015084e-10
267776 65.375 1.10622166015084e-10
268288 65.5 1.10622166015084e-10
268800 65.625 1.10622166015084e-10
269312 65.75 1.10622166015084e-10
269824 65.875 1.10622166015084e-10
270336 66 1.10622166015084e-10
270848 66.125 1.10622166015084e-10
271360 66.25 1.10622166015084e-10
271872 66.375 1.10622166015084e-10
272384 66.5 1.10622166015084e-10
272896 66.625 1.10622166015084e-10
273408 66.75 1.10622166015084e-10
273920 66.875 1.10622166015084e-10
274432 67 1.10622166015084e-10
274944 67.125 1.10622166015084e-10
275456 67.25 1.10622166015084e-10
275968 67.375 1.10622166015084e-10
276480 67.5 1.10622166015084e-10
276992 67.625 1.10622166015084e-10
277504 67.75 1.10622166015084e-10
278016 67.875 1.10622166015084e-10
278528 68 1.10622166015084e-10
279040 68.125 1.10622166015084e-10
279552 68.25 1.10622166015084e-10
280064 68.375 1.10622166015084e-10
280576 68.5 1.10622166015084e-10
281088 68.625 1.10622166015084e-10
281600 68.75 1.10622166015084e-10
282112 68.875 1.10622166015084e-10
282624 69 1.10622166015084e-10
283136 69.125 1.10622166015084e-10
283648 69.25 1.10622166015084e-10
284160 69.375 1.10622166015084e-10
284672 69.5 1.10622166015084e-10
285184 69.625 1.10622166015084e-10
285696 69.75 1.10622166015084e-10
286208 69.875 1.10622166015084e-10
286720 70 1.10622166015084e-10
287232 70.125 1.10622166015084e-10
287744 70.25 1.10622166015084e-10
288256 70.375 1.10622166015084e-10
288768 70.5 1.10622166015084e-10
289280 70.625 1.10622166015084e-10
289792 70.75 1.10622166015084e-10
290304 70.875 1.10622166015084e-10
290816 71 1.10622166015084e-10
291328 71.125 1.10622166015084e-10
291840 71.25 1.10622166015084e-10
292352 71.375 1.10622166015084e-10
292864 71.5 1.10622166015084e-10
293376 71.625 1.10622166015084e-10
293888 71.75 1.10622166015084e-10
294400 71.875 1.10622166015084e-10
294912 72 1.10622166015084e-10
295424 72.125 1.10622166015084e-10
295936 72.25 1.10622166015084e-10
296448 72.375 1.10622166015084e-10
296960 72.5 1.10622166015084e-10
297472 72.625 1.10622166015084e-10
297984 72.75 1.10622166015084e-10
298496 72.875 1.10622166015084e-10
299008 73 1.10622166015084e-10
299520 73.125 1.10622166015084e-10
300032 73.25 1.10622166015084e-10
300544 73.375 1.10622166015084e-10
301056 73.5 1.10622166015084e-10
301568 73.625 1.10622166015084e-10
302080 73.75 1.10622166015084e-10
302592 73.875 1.10622166015084e-10
303104 74 1.10622166015084e-10
303616 74.125 1.10622166015084e-10
304128 74.25 1.10622166015084e-10
304640 74.375 1.10622166015084e-10
305152 74.5 1.10622166015084e-10
305664 74.625 1.10622166015084e-10
306176 74.75 1.10622166015084e-10
306688 74.875 1.10622166015084e-10
307200 75 1.10622166015084e-10
307712 75.125 1.10622166015084e-10
308224 75.25 1.10622166015084e-10
308736 75.375 1.10622166015084e-10
309248 75.5 1.10622166015084e-10
309760 75.625 1.10622166015084e-10
310272 75.75 1.10622166015084e-10
310784 75.875 1.10622166015084e-10
311296 76 1.10622166015084e-10
311808 76.125 1.10622166015084e-10
312320 76.25 1.10622166015084e-10
312832 76.375 1.10622166015084e-10
313344 76.5 1.10622166015084e-10
313856 76.625 1.10622166015084e-10
314368 76.75 1.10622166015084e-10
314880 76.875 1.10622166015084e-10
315392 77 1.10622166015084e-10
315904 77.125 1.10622166015084e-10
316416 77.25 1.10622166015084e-10
316928 77.375 1.10622166015084e-10
317440 77.5 1.10622166015084e-10
317952 77.625 1.10622166015084e-10
