# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
1099264 268.375 -0.00189544004446927
1099776 268.5 -0.00189493827898086
1100288 268.625 -0.00189439587938794
1100800 268.75 -0.00189382784553875
1101312 268.875 -0.0018932599658072
1101824 269 -0.00189271199547382
1102336 269.125 -0.00189218807642083
1102848 269.25 -0.00189171278845759
1103360 269.375 -0.00189133574039042
1103872 269.5 -0.00189102414274334
1104384 269.625 -0.00189076063226461
1104896 269.75 -0.00189055107619583
1105408 269.875 -0.00189041069141183
1105920 270 -0.00189034245468611
1106432 270.125 -0.0018903218238457
1106944 270.25 -0.00189030267504167
1107456 270.375 -0.00189025009954492
1107968 270.5 -0.00189017283859489
1108480 270.625 -0.00189010979997489
1108992 270.75 -0.00189007591105845
1109504 270.875 -0.00189003879896817
1110016 271 -0.00188996641816348
1110528 271.125 -0.00188987898375813
1111040 271.25 -0.00188982385484859
1111552 271.375 -0.00188980445531985
1112064 271.5 -0.00188977051833256
1112576 271.625 -0.00188968474376179
1113088 271.75 -0.00188956970448957
1113600 271.875 -0.00188947584971538
1114112 272 -0.00188942447780543
1114624 272.125 -0.00188939943643097
1115136 272.25 -0.00188938074438182
1115648 272.375 -0.00188936539059135
1116160 272.5 -0.0018893564677404
1116672 272.625 -0.00188934861090526
1117184 272.75 -0.00188928374670628
1117696 272.875 -0.00188907802855907
1118208 273 -0.0018887550101518
1118720 273.125 -0.00188833319973155
1119232 273.25 -0.00188780444369427
1119744 273.375 -0.00188714932575501
1120256 273.5 -0.00188633676189074
1120768 273.625 -0.00188539416468124
1121280 273.75 -0.00188434481701595
1121792 273.875 -0.00188317890764628
1122304 274 -0.00188188982042576
1122816 274.125 -0.00188054940716007
1123328 274.25 -0.00187928193909066
1123840 274.375 -0.00187812596567191
1124352 274.5 -0.00187708077877707
1124864 274.625 -0.00187612829982125
1125376 274.75 -0.00187525263502601
1125888 274.875 -0.00187434052340505
1126400 275 -0.00187332685022293
1126912 275.125 -0.00187220761937978
1127424 275.25 -0.0018709633915917
1127936 275.375 -0.00186958178602305
1128448 275.5 -0.00186834776003451
1128960 275.625 -0.00186739621251351
1129472 275.75 -0.00186657910734232
1129984 275.875 -0.00186584868523348
1130496 276 -0.0018651702693764
1131008 276.125 -0.00186453215883271
1131520 276.25 -0.00186392729621768
1132032 276.375 -0.00186332366534446
1132544 276.5 -0.00186268617746801
1133056 276.625 -0.00186203034406034
1133568 276.75 -0.00186142380569764
1134080 276.875 -0.00186090923204499
1134592 277 -0.00186043352616026
1135104 277.125 -0.00185975196524037
1135616 277.25 -0.00185869616314826
1136128 277.375 -0.00185729404925418
1136640 277.5 -0.00185562298467642
1137152 277.625 -0.00185370712245553
1137664 277.75 -0.00185147642391172
1138176 277.875 -0.00184883196723617
1138688 278 -0.00184583133611685
1139200 278.125 -0.00184289594274976
1139712 278.25 -0.0018402138366744
1140224 278.375 -0.00183783954710509
1140736 278.5 -0.0018356884776789
1141248 278.625 -0.00183364404981893
1141760 278.75 -0.00183178843147392
1142272 278.875 -0.0018301325690348
1142784 279 -0.00182874007361378
1143296 279.125 -0.0018275724936681
1143808 279.25 -0.00182642191043897
1144320 279.375 -0.00182502350997788
1144832 279.5 -0.00182327356007494
1145344 279.625 -0.00182129902757274
1145856 279.75 -0.00181928842776052
1146368 279.875 -0.00181728402791938
1146880 280 -0.00181514721822361
1147392 280.125 -0.0018127099402145
1147904 280.25 -0.00180994808185237
1148416 280.375 -0.00180702934813947
1148928 280.5 -0.00180421539432971
1149440 280.625 -0.00180169755634807
1149952 280.75 -0.00179948588579994
1150464 280.875 -0.00179740609557813
1150976 281 -0.00179525302691433
1151488 281.125 -0.00179307714223599
1152000 281.25 -0.00179108448634357
1152512 281.375 -0.00178943019210266
1153024 281.5 -0.00178806413735335
1153536 281.625 -0.0017868004631672
1154048 281.75 -0.00178552601365265
1154560 281.875 -0.00178430689584073
1155072 282 -0.00178328239344416
1155584 282.125 -0.00178248798307413
1156096 282.25 -0.00178182410615608
1156608 282.375 -0.00178118066310785
1157120 282.5 -0.00178054422300662
1157632 282.625 -0.00177996919612514
1158144 282.75 -0.0017794793235982
1158656 282.875 -0.00177903178486675
1159168 283 -0.00177857062643515
1159680 283.125 -0.00177808521546176
1160192 283.25 -0.00177760610581029
1160704 283.375 -0.00177715794433119
1161216 283.5 -0.00177672989764246
1161728 283.625 -0.00177626884109034
1162240 283.75 -0.00177571032555936
1162752 283.875 -0.00177506499194581
1163264 284 -0.0017743654005629
1163776 284.125 -0.00177363443373151
1164288 284.25 -0.00177286968456372
1164800 284.375 -0.00177205162299203
1165312 284.5 -0.00177116292400517
1165824 284.625 -0.00177020562114559
1166336 284.75 -0.00176920839824031
1166848 284.875 -0.00176822888205095
1167360 285 -0.00176730738568729
