# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
107008 26.125 -1.53679390354625e-05 -1.53679714097227e-05 -1.53678114668928e-05
107520 26.25 -1.48316098922657e-05 -1.48316698757749e-05 -1.48316137390243e-05
108032 26.375 -1.61995301494797e-05 -1.6199573859319e-05 -1.61995087804435e-05
108544 26.5 -1.6071149812649e-05 -1.60711832306224e-05 -1.60711447239642e-05
109056 26.625 -1.62457483520976e-05 -1.62457727247872e-05 -1.62457582884954e-05
109568 26.75 -1.61604817287862e-05 -1.61604811854997e-05 -1.61604679534071e-05
110080 26.875 -1.5569932599965e-05 -1.55699167265515e-05 -1.55699252050045e-05
110592 27 -1.44308269575103e-05 -1.44307875374328e-05 -1.44306904971789e-05
111104 27.125 -1.4798081854346e-05 -1.47980793472299e-05 -1.47980967795067e-05
111616 27.25 -1.51761740233331e-05 -1.51762102769773e-05 -1.51761321970561e-05
112128 27.375 -1.64471129643325e-05 -1.64471050000928e-05 -1.64471305966552e-05
112640 27.5 -1.81127012011128e-05 -1.81126868753008e-05 -1.81126756548926e-05
113152 27.625 -1.86906768939614e-05 -1.86906898310511e-05 -1.86906338779016e-05
113664 27.75 -1.8160577194465e-05 -1.81605853638958e-05 -1.81605186058008e-05
114176 27.875 -1.62763046688026e-05 -1.62763306392361e-05 -1.62763007248672e-05
114688 28 -1.53685467974295e-05 -1.53685602821678e-05 -1.53685465571485e-05
115200 28.125 -1.58648531237455e-05 -1.58649574102137e-05 -1.58648218938094e-05
115712 28.25 -1.67334235715187e-05 -1.67334902855608e-05 -1.67334020389795e-05
116224 28.375 -1.69732784036559e-05 -1.6973421275231e-05 -1.69734190936148e-05
116736 28.5 -1.77788648855508e-05 -1.77788611152278e-05 -1.77786917459957e-05
117248 28.625 -1.82741310982837e-05 -1.82740631100899e-05 -1.82740050241842e-05
117760 28.75 -1.86381407334156e-05 -1.86381270783483e-05 -1.86380525140441e-05
