# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
54784 13.375 3.68524635973766e-05 3.68524635505869e-05 3.68524636701778e-05
55296 13.5 3.61663659979569e-05 3.61663657939618e-05 3.61663655795538e-05
55808 13.625 3.49069821314224e-05 3.49069822841396e-05 3.4906982716272e-05
56320 13.75 3.34834647089519e-05 3.34834648524764e-05 3.34834651330794e-05
56832 13.875 3.20401419623489e-05 3.20401421280562e-05 3.20401417193987e-05
57344 14 3.15243661420822e-05 3.1524366288223e-05 3.15243656402567e-05
57856 14.125 3.1284473087559e-05 3.12844731300649e-05 3.12844739272904e-05
58368 14.25 3.10505997265068e-05 3.10505993315177e-05 3.10506011711818e-05
58880 14.375 3.14782723627946e-05 3.14782723150196e-05 3.14782712671549e-05
59392 14.5 3.22897425111032e-05 3.22897417701767e-05 3.22897402590841e-05
59904 14.625 3.21382050402946e-05 3.21382039003772e-05 3.21382021693131e-05
60416 14.75 3.12107406790116e-05 3.12107393219378e-05 3.12107377458626e-05
60928 14.875 3.00325795754216e-05 3.00325788237473e-05 3.00325782146584e-05
61440 15 2.94102148661201e-05 2.94102142733255e-05 2.9410212956318e-05
61952 15.125 2.90673173960201e-05 2.90673163641237e-05 2.90673138067154e-05
62464 15.25 2.92714582034671e-05 2.9271458051979e-05 2.92714563287619e-05
62976 15.375 2.94378567528652e-05 2.94378569787219e-05 2.94378529351922e-05
63488 15.5 2.9212554584218e-05 2.92125553112422e-05 2.92125500856926e-05
64000 15.625 2.84810988426288e-05 2.84811000448395e-05 2.84810952802719e-05
64512 15.75 2.81960433909564e-05 2.81960396643272e-05 2.81960438362106e-05
65024 15.875 2.78857141333372e-05 2.78857096298656e-05 2.78857118703704e-05
65536 16 2.70792272438824e-05 2.7079223220935e-05 2.70792239565996e-05
66048 16.125 2.62993495996895e-05 2.62993450830905e-05 2.62993438050956e-05
66560 16.25 2.59492389123679e-05 2.59492353062106e-05 2.59492312165599e-05
67072 16.375 2.56879210015732e-05 2.56879223580603e-05 2.568791473189e-05
67584 16.5 2.56183015667776e-05 2.56183014443751e-05 2.56182880536174e-05
68096 16.625 2.54279959554033e-05 2.54280006879772e-05 2.54279793789e-05
68608 16.75 2.44890306337378e-05 2.44890407074691e-05 2.44890185891977e-05
69120 16.875 2.39342306753229e-05 2.39342324116639e-05 2.39342328624981e-05
69632 17 2.36290683938094e-05 2.36290717444683e-05 2.3629074670377e-05
70144 17.125 2.33635579870694e-05 2.33635471118761e-05 2.33635537101672e-05
70656 17.25 2.38843881053149e-05 2.38843916649464e-05 2.38843816173502e-05
71168 17.375 2.55695518994704e-05 2.5569537952994e-05 2.5569513748717e-05
71680 17.5 2.64820118626183e-05 2.64820223078458e-05 2.64819925899607e-05
72192 17.625 2.79415012988322e-05 2.79414331709577e-05 2.79414722743284e-05
72704 17.75 2.95722830938556e-05 2.95722557192176e-05 2.95722973349439e-05
73216 17.875 2.92621158000706e-05 2.92621200624936e-05 2.92621567787652e-05
73728 18 2.9545550408359e-05 2.9545522123528e-05 2.95455380872577e-05
74240 18.125 2.97548673963733e-05 2.97548670064046e-05 2.97548703269325e-05
74752 18.25 3.18682384127489e-05 3.18682591005932e-05 3.18683061482144e-05
75264 18.375 3.37323901766922e-05 3.37324227021164e-05 3.37324557189641e-05
75776 18.5 3.434928856297e-05 3.43493198935767e-05 3.43493188966054e-05
76288 18.625 3.63501027011541e-05 3.63501573602088e-05 3.63500662095615e-05
76800 18.75 3.72004151134095e-05 3.720032339257e-05 3.7200403670432e-05
77312 18.875 3.73128261066114e-05 3.73128370078969e-05 3.73128249760748e-05
77824 19 3.66530896669581e-05 3.66530971737917e-05 3.66530584145883e-05
78336 19.125 3.65616740491236e-05 3.65616926883574e-05 3.65617037850516e-05
78848 19.25 3.6990678873561e-05 3.69907269683715e-05 3.69907562708975e-05
79360 19.375 3.74016584162885e-05 3.74016665388007e-05 3.7401646499996e-05
79872 19.5 3.76499303099967e-05 3.76499306518462e-05 3.76499173392497e-05
80384 19.625 3.70205681307096e-05 3.70205485556039e-05 3.70205489143609e-05
80896 19.75 3.81075862326895e-05 3.81075820521845e-05 3.81075739545786e-05
81408 19.875 3.76175901788229e-05 3.7617590366949e-05 3.76176112823172e-05
81920 20 3.66416892062967e-05 3.6641670338462e-05 3.66417340729214e-05
82432 20.125 3.79909282195311e-05 3.79909426096605e-05 3.79909380080621e-05
82944 20.25 3.80026832795372e-05 3.80027238920661e-05 3.80027014198725e-05
83456 20.375 3.66617610246734e-05 3.66617638775454e-05 3.66617593986059e-05
83968 20.5 3.72332548615604e-05 3.7233127021084e-05 3.72332210815419e-05
84480 20.625 3.68308323200701e-05 3.68308547353918e-05 3.68308608413291e-05
84992 20.75 3.58689631421515e-05 3.58690024160703e-05 3.58689773524233e-05
85504 20.875 3.50831579437666e-05 3.50831663590885e-05 3.50831671916385e-05
86016 21 3.45157820989284e-05 3.45157775919194e-05 3.45157688961707e-05
86528 21.125 3.36564077803777e-05 3.36563784005893e-05 3.365641501838e-05
87040 21.25 3.37008729213279e-05 3.37008914748733e-05 3.37008598088321e-05
87552 21.375 3.32973915747321e-05 3.329727396541e-05 3.32973837358008e-05
88064 21.5 3.19774911797943e-05 3.19773179818683e-05 3.19774619546885e-05
88576 21.625 3.18573742349532e-05 3.18574134514683e-05 3.18574288687176e-05
89088 21.75 3.08236102545389e-05 3.08243181495391e-05 3.08243248266395e-05
89600 21.875 3.05049868746461e-05 3.050496745079e-05 3.0504917892903e-05
90112 22 2.99021511687744e-05 2.99021935934585e-05 2.99021948653523e-05
90624 22.125 2.98362903389512e-05 2.98362270352169e-05 2.98362929398928e-05
91136 22.25 2.89451320580802e-05 2.89450898181977e-05 2.89451663621647e-05
91648 22.375 2.8194267613129e-05 2.81942655669826e-05 2.81941645303719e-05
92160 22.5 2.79480898249306e-05 2.79481663150395e-05 2.79481758991068e-05
92672 22.625 2.77496493362801e-05 2.77496352574822e-05 2.77494901070887e-05
93184 22.75 2.70949818647921e-05 2.70949793757385e-05 2.7094981279751e-05
93696 22.875 2.71715829233809e-05 2.71714309067733e-05 2.71715099590729e-05
94208 23 2.66063657904309e-05 2.66062455968144e-05 2.66062184592859e-05
94720 23.125 2.60948563290506e-05 2.60948254901379e-05 2.60946145112236e-05
95232 23.25 2.56718410937266e-05 2.56718300087135e-05 2.56716820858924e-05
95744 23.375 2.51546928797768e-05 2.51547944875402e-05 2.51548364081222e-05
96256 23.5 2.48018804595671e-05 2.48021336777857e-05 2.48021525536757e-05
96768 23.625 2.49960571686894e-05 2.49960495594177e-05 2.49960779234095e-05
97280 23.75 2.57610053830246e-05 2.57611158358252e-05 2.57610123214944e-05
97792 23.875 2.48217192265814e-05 2.48218289446914e-05 2.48217190904981e-05
98304 24 2.34531638878209e-05 2.34531745788747e-05 2.34531603223844e-05
98816 24.125 2.35874147592452e-05 2.35874138615954e-05 2.35874083584954e-05
99328 24.25 2.32210351495957e-05 2.32209812088481e-05 2.32209403706976e-05
99840 24.375 2.39504117084762e-05 2.39504025419282e-05 2.39503973998756e-05
100352 24.5 2.48989960753584e-05 2.48989477805367e-05 2.48989440095184e-05
100864 24.625 2.54235925203756e-05 2.5423583459312e-05 2.54236154439429e-05
101376 24.75 2.47675506564532e-05 2.4767547024095e-05 2.47675583442283e-05
101888 24.875 2.27888217208323e-05 2.27888220599074e-05 2.27888431173333e-05
102400 25 2.30295664994755e-05 2.30295995201672e-05 2.30296042392107e-05
102912 25.125 2.41365188809471e-05 2.41364564892934e-05 2.41364773432738e-05
103424 25.25 2.48892403405864e-05 2.4889264690121e-05 2.48892876093946e-05
