# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
378368 92.375 1
378880 92.5 1
379392 92.625 1
379904 92.75 1
380416 92.875 1
380928 93 1
381440 93.125 1
381952 93.25 1
382464 93.375 1
382976 93.5 1
383488 93.625 1
384000 93.75 1
384512 93.875 1
385024 94 1
385536 94.125 1
386048 94.25 1
386560 94.375 1
387072 94.5 1
387584 94.625 1
388096 94.75 1
388608 94.875 1
389120 95 1
389632 95.125 1
390144 95.25 1
390656 95.375 1
391168 95.5 1
391680 95.625 1
392192 95.75 1
392704 95.875 1
393216 96 1
393728 96.125 1
394240 96.25 1
394752 96.375 1
395264 96.5 1
395776 96.625 1
396288 96.75 1
396800 96.875 1
397312 97 1
397824 97.125 1
398336 97.25 1
398848 97.375 1
399360 97.5 1
399872 97.625 1
400384 97.75 1
400896 97.875 1
401408 98 1
401920 98.125 1
402432 98.25 1
402944 98.375 1
403456 98.5 1
403968 98.625 1
404480 98.75 1
404992 98.875 1
405504 99 1
406016 99.125 1
406528 99.25 1
407040 99.375 1
407552 99.5 1
408064 99.625 1
408576 99.75 1
409088 99.875 1
409600 100 1
410112 100.125 1
410624 100.25 1
411136 100.375 1
411648 100.5 1
412160 100.625 1
412672 100.75 1
413184 100.875 1
413696 101 1
414208 101.125 1
414720 101.25 1
415232 101.375 1
415744 101.5 1
416256 101.625 1
416768 101.75 1
417280 101.875 1
417792 102 1
418304 102.125 1
418816 102.25 1
419328 102.375 1
419840 102.5 1
420352 102.625 1
420864 102.75 1
421376 102.875 1
421888 103 1
422400 103.125 1
422912 103.25 1
423424 103.375 1
423936 103.5 1
424448 103.625 1
424960 103.75 1
425472 103.875 1
425984 104 1
426496 104.125 1
427008 104.25 1
427520 104.375 1
428032 104.5 1
428544 104.625 1
429056 104.75 1
429568 104.875 1
430080 105 1
430592 105.125 1
431104 105.25 1
431616 105.375 1
432128 105.5 1
432640 105.625 1
433152 105.75 1
433664 105.875 1
434176 106 1
434688 106.125 1
435200 106.25 1
435712 106.375 1
436224 106.5 1
436736 106.625 1
437248 106.75 1
437760 106.875 1
438272 107 1
438784 107.125 1
439296 107.25 1
439808 107.375 1
440320 107.5 1
440832 107.625 1
441344 107.75 1
441856 107.875 1
442368 108 1
442880 108.125 1
443392 108.25 1
443904 108.375 1
444416 108.5 1
444928 108.625 1
445440 108.75 1
445952 108.875 1
446464 109 1
446976 109.125 1
447488 109.25 1
448000 109.375 1
448512 109.5 1
449024 109.625 1
449536 109.75 1
450048 109.875 1
450560 110 1
451072 110.125 1
451584 110.25 1
452096 110.375 1
452608 110.5 1
453120 110.625 1
453632 110.75 1
454144 110.875 1
454656 111 1
455168 111.125 1
455680 111.25 1
456192 111.375 1
456704 111.5 1
457216 111.625 1
457728 111.75 1
458240 111.875 1
458752 112 1
459264 112.125 1
459776 112.25 1
460288 112.375 1
460800 112.5 1
461312 112.625 1
461824 112.75 1
462336 112.875 1
462848 113 1
463360 113.125 1
463872 113.25 1
464384 113.375 1
464896 113.5 1
465408 113.625 1
465920 113.75 1
466432 113.875 1
466944 114 1
467456 114.125 1
467968 114.25 1
468480 114.375 1
468992 114.5 1
469504 114.625 1
470016 114.75 1
470528 114.875 1
471040 115 1
471552 115.125 1
472064 115.25 1
472576 115.375 1
473088 115.5 1
473600 115.625 1
474112 115.75 1
474624 115.875 1
475136 116 1
475648 116.125 1
476160 116.25 1
476672 116.375 1
477184 116.5 1
477696 116.625 1
478208 116.75 1
478720 116.875 1
479232 117 1
479744 117.125 1
480256 117.25 1
480768 117.375 1
481280 117.5 1
481792 117.625 1
482304 117.75 1
482816 117.875 1
483328 118 1
483840 118.125 1
484352 118.25 1
484864 118.375 1
485376 118.5 1
485888 118.625 1
486400 118.75 1
486912 118.875 1
487424 119 1
487936 119.125 1
