# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
119808 29.25 2.55873740795149e-06 2.55873713551299e-06 2.5587371703209e-06
120320 29.375 2.57763650909782e-06 2.57763626895988e-06 2.57763625715491e-06
120832 29.5 2.58933630550522e-06 2.58933619864464e-06 2.5893362048116e-06
121344 29.625 2.59469765673435e-06 2.59469761651092e-06 2.5946976841431e-06
121856 29.75 2.60243176030348e-06 2.6024316491992e-06 2.60243174747944e-06
122368 29.875 2.61426497523319e-06 2.61426491013872e-06 2.61426506912384e-06
122880 30 2.6294710766852e-06 2.62947120097895e-06 2.62947139836934e-06
123392 30.125 2.64424893831657e-06 2.64424891497044e-06 2.64424901808459e-06
123904 30.25 2.65682642754125e-06 2.65682624185104e-06 2.65682616051462e-06
124416 30.375 2.66820947569222e-06 2.66820925413268e-06 2.66820915941525e-06
124928 30.5 2.67843482572911e-06 2.67843464122321e-06 2.67843443595183e-06
125440 30.625 2.68744037612787e-06 2.68744033057931e-06 2.68744006482289e-06
125952 30.75 2.69547416793963e-06 2.69547391313686e-06 2.69547368762383e-06
126464 30.875 2.7044839676016e-06 2.70448376151509e-06 2.70448376954609e-06
126976 31 2.71476464064108e-06 2.71476443986463e-06 2.71476448167611e-06
127488 31.125 2.72464580012084e-06 2.72464568450447e-06 2.72464565573845e-06
128000 31.25 2.73516264390588e-06 2.73516256127089e-06 2.73516252370368e-06
128512 31.375 2.74362533128268e-06 2.74362518054352e-06 2.74362506447546e-06
129024 31.5 2.75026395120028e-06 2.75026382121276e-06 2.75026378204012e-06
129536 31.625 2.75228866237914e-06 2.7522885767681e-06 2.75228869479676e-06
130048 31.75 2.7510868595391e-06 2.75108674658033e-06 2.7510869468661e-06
130560 31.875 2.74923335466677e-06 2.74923322289783e-06 2.74923343778094e-06
131072 32 2.74649736027634e-06 2.74649729033766e-06 2.74649742289899e-06
131584 32.125 2.74403956433751e-06 2.74403937206111e-06 2.74403936076523e-06
132096 32.25 2.74292643991137e-06 2.7429262902893e-06 2.74292628232619e-06
132608 32.375 2.74299602987263e-06 2.74299594368401e-06 2.74299605474774e-06
133120 32.5 2.7434230060366e-06 2.74342281148879e-06 2.74342300304946e-06
133632 32.625 2.74356441669179e-06 2.74356409871422e-06 2.74356430316466e-06
134144 32.75 2.73880321014652e-06 2.73880303875179e-06 2.73880330304788e-06
134656 32.875 2.73100516226254e-06 2.73100506511242e-06 2.73100519387176e-06
135168 33 2.72082623206136e-06 2.72082620308322e-06 2.72082619070312e-06
135680 33.125 2.71204409883161e-06 2.71204393827858e-06 2.71204382513056e-06
136192 33.25 2.70598815065575e-06 2.70598797003069e-06 2.70598783950213e-06
136704 33.375 2.69916759755773e-06 2.69916742223655e-06 2.69916735303205e-06
137216 33.5 2.69226134235156e-06 2.69226120028508e-06 2.6922611990695e-06
137728 33.625 2.68645351879794e-06 2.68645349352357e-06 2.68645353429573e-06
138240 33.75 2.68177531630997e-06 2.68177546581891e-06 2.68177563913276e-06
138752 33.875 2.6767384850476e-06 2.67673859172048e-06 2.67673874672383e-06
139264 34 2.66893699838825e-06 2.66893705425733e-06 2.66893701903559e-06
139776 34.125 2.65869158092449e-06 2.65869159170479e-06 2.65869146626722e-06
140288 34.25 2.64420123042246e-06 2.64420118547503e-06 2.64420107957539e-06
140800 34.375 2.62830918953777e-06 2.62830892715924e-06 2.62830908482741e-06
