# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
274432 67 0.0021497164647898
274944 67.125 0.00215025733238193
275456 67.25 0.00215077890218264
275968 67.375 0.0021512792967102
276480 67.5 0.00215175629656893
276992 67.625 0.00215220759484924
277504 67.75 0.00215263103913219
278016 67.875 0.00215302485121627
278528 68 0.00215338780220763
279040 68.125 0.00215371895989883
279552 68.25 0.00215401758688618
280064 68.375 0.00215428311939004
280576 68.5 0.00215451279853488
281088 68.625 0.00215468831506636
281600 68.75 0.00215480602255461
282112 68.875 0.00215486716975752
282624 69 0.00215487375129705
283136 69.125 0.00215482822118778
283648 69.25 0.00215473333238493
284160 69.375 0.00215459203170444
284672 69.5 0.0021544073547966
285184 69.625 0.00215418232008846
285696 69.75 0.00215391983485337
286208 69.875 0.00215362262763934
286720 70 0.0021532932083268
287232 70.125 0.00215293385644739
287744 70.25 0.0021525512872919
288256 70.375 0.00215215955921049
288768 70.5 0.00215175951191079
289280 70.625 0.00215135141949235
289792 70.75 0.00215093501589837
290304 70.875 0.00215050990251273
290816 71 0.00215007588906263
291328 71.125 0.00214963262606528
291840 71.25 0.00214917960309464
292352 71.375 0.00214871617054594
292864 71.5 0.00214824158048233
293376 71.625 0.00214775504438958
293888 71.75 0.00214725577126346
294400 71.875 0.00214674297387945
294912 72 0.00214621585441474
295424 72.125 0.00214567366167909
295936 72.25 0.00214511577000863
296448 72.375 0.00214454145971661
296960 72.5 0.00214394988186575
297472 72.625 0.0021433400566204
297984 72.75 0.00214271086623198
298496 72.875 0.00214206105620029
299008 73 0.00214138927962396
299520 73.125 0.00214069428327199
300032 73.25 0.00213997480516885
300544 73.375 0.00213922955269233
301056 73.5 0.0021384557154689
301568 73.625 0.00213764192204879
302080 73.75 0.00213678396891165
302592 73.875 0.00213588003455306
303104 74 0.00213492882098576
303616 74.125 0.00213392858333988
304128 74.25 0.00213287777861731
304640 74.375 0.00213177572745499
305152 74.5 0.00213062253273886
305664 74.625 0.00212941897760865
306176 74.75 0.00212816643889634
306688 74.875 0.00212686681893549
307200 75 0.00212552247760314
307712 75.125 0.00212413614587892
308224 75.25 0.00212271081535794
308736 75.375 0.00212124961004956
309248 75.5 0.00211975565199977
309760 75.625 0.00211823193707452
310272 75.75 0.00211668124269203
310784 75.875 0.0021151060845538
311296 76 0.00211350871799322
311808 76.125 0.0021118911547722
312320 76.25 0.00211025516099652
312832 76.375 0.00210860222378165
313344 76.5 0.00210693350478739
313856 76.625 0.00210524981093931
314368 76.75 0.00210355159564936
314880 76.875 0.00210183898197372
315392 77 0.0021001117924479
315904 77.125 0.00209836957976387
316416 77.25 0.00209661166622473
316928 77.375 0.0020948372004676
317440 77.5 0.00209304522684578
317952 77.625 0.00209123475198276
318464 77.75 0.00208940479257828
318976 77.875 0.00208755439906656
319488 78 0.00208568265184313
320000 78.125 0.00208378846948968
320512 78.25 0.00208187059322381
321024 78.375 0.00207992781191898
321536 78.5 0.00207795903045046
322048 78.625 0.00207596334606596
322560 78.75 0.00207394012326234
323072 78.875 0.00207188904203794
323584 79 0.00206981010644374
324096 79.125 0.00206770362131441
324608 79.25 0.00206557015715073
325120 79.375 0.00206341052103787
325632 79.5 0.00206122573912911
326144 79.625 0.00205901705078507
326656 79.75 0.0020567859206403
