# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
99328 24.25 -2.30103718774193e-05 -2.30103723819407e-05 -2.30103721427882e-05
99840 24.375 -2.27439664629593e-05 -2.27439669671645e-05 -2.27439669050522e-05
100352 24.5 -2.24855010365779e-05 -2.24855015316547e-05 -2.24855014933823e-05
100864 24.625 -2.22331685701739e-05 -2.22331689932747e-05 -2.22331690359923e-05
101376 24.75 -2.19862530531161e-05 -2.19862529913059e-05 -2.19862534118059e-05
101888 24.875 -2.17433955336651e-05 -2.17433951838401e-05 -2.17433958596852e-05
102400 25 -2.15058794918919e-05 -2.15058792901594e-05 -2.15058797710401e-05
102912 25.125 -2.12662334788508e-05 -2.1266233315621e-05 -2.12662336890061e-05
103424 25.25 -2.10243966930446e-05 -2.10243965206676e-05 -2.10243968602639e-05
103936 25.375 -2.07903317386175e-05 -2.07903315679395e-05 -2.07903319500079e-05
104448 25.5 -2.05646893952732e-05 -2.05646892935643e-05 -2.05646895280837e-05
104960 25.625 -2.03347396632773e-05 -2.03347396771393e-05 -2.03347397203054e-05
105472 25.75 -2.0108248006476e-05 -2.01082480140347e-05 -2.01082480807963e-05
105984 25.875 -1.98943433342785e-05 -1.98943434974717e-05 -1.98943433282512e-05
106496 26 -1.96748382296546e-05 -1.96748384638347e-05 -1.96748381432912e-05
107008 26.125 -1.9466202227261e-05 -1.9466202447145e-05 -1.94662021591241e-05
107520 26.25 -1.92601079323429e-05 -1.92601081196171e-05 -1.92601078312429e-05
108032 26.375 -1.9047931866885e-05 -1.9047932019503e-05 -1.90479317778694e-05
108544 26.5 -1.88595466656088e-05 -1.88595468094008e-05 -1.88595466104624e-05
109056 26.625 -1.86657355673519e-05 -1.86657357116175e-05 -1.86657355532196e-05
109568 26.75 -1.84714164455261e-05 -1.84714165750045e-05 -1.84714164428226e-05
110080 26.875 -1.82912385676282e-05 -1.82912386769705e-05 -1.82912385880024e-05
110592 27 -1.81016447498521e-05 -1.81016448279309e-05 -1.81016447569889e-05
111104 27.125 -1.7932034709725e-05 -1.79320347934162e-05 -1.79320347279809e-05
111616 27.25 -1.77619957504319e-05 -1.77619958111537e-05 -1.77619957562506e-05
112128 27.375 -1.75924985942621e-05 -1.75924986592067e-05 -1.75924986041717e-05
112640 27.5 -1.74440672508484e-05 -1.74440672933612e-05 -1.74440672677852e-05
113152 27.625 -1.72846994974298e-05 -1.72846995497991e-05 -1.72846995218514e-05
113664 27.75 -1.71444784419832e-05 -1.71444784825083e-05 -1.71444784566135e-05
114176 27.875 -1.69987404206835e-05 -1.69987404637304e-05 -1.699874045053e-05
114688 28 -1.68603193820783e-05 -1.68603194022304e-05 -1.6860319394542e-05
115200 28.125 -1.67289455384404e-05 -1.67289455702988e-05 -1.67289455665071e-05
