# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
597504 145.875 2.9247389458594e-05
598016 146 2.92557826041584e-05
598528 146.125 2.9265288335273e-05
599040 146.25 2.92737636785409e-05
599552 146.375 2.92811634554e-05
600064 146.5 2.92883407713519e-05
600576 146.625 2.92967817762541e-05
601088 146.75 2.93051521250269e-05
601600 146.875 2.93122235122374e-05
602112 147 2.93187588382843e-05
602624 147.125 2.93268545364539e-05
603136 147.25 2.93360039372126e-05
603648 147.375 2.93442310550171e-05
604160 147.5 2.93511087167677e-05
604672 147.625 2.93578536002836e-05
605184 147.75 2.9365825475905e-05
605696 147.875 2.93737953485559e-05
606208 148 2.9380502863197e-05
606720 148.125 2.93866939740732e-05
607232 148.25 2.93943689334764e-05
607744 148.375 2.94032242243594e-05
608256 148.5 2.94112073427982e-05
608768 148.625 2.94174621565335e-05
609280 148.75 2.94234973498023e-05
609792 148.875 2.9430553887957e-05
610304 149 2.94379254772584e-05
610816 149.125 2.94443820498539e-05
611328 149.25 2.94504945242592e-05
611840 149.375 2.94576215652074e-05
612352 149.5 2.94659983236267e-05
612864 149.625 2.94736465227206e-05
613376 149.75 2.94795262975907e-05
613888 149.875 2.94849522623496e-05
614400 150 2.94908744194036e-05
614912 150.125 2.94974137553612e-05
615424 150.25 2.95035382797305e-05
615936 150.375 2.95096909826626e-05
616448 150.5 2.95164585470217e-05
616960 150.625 2.95242907294236e-05
617472 150.75 2.95316213500133e-05
617984 150.875 2.95373253472579e-05
618496 151 2.95421091910971e-05
619008 151.125 2.95469902825163e-05
619520 151.25 2.9552552370456e-05
620032 151.375 2.95585644137511e-05
620544 151.5 2.95646075024672e-05
621056 151.625 2.95709506194704e-05
621568 151.75 2.95779122236738e-05
622080 151.875 2.95847884079691e-05
622592 152 2.95903669803167e-05
623104 152.125 2.95946735067603e-05
623616 152.25 2.95985085335582e-05
624128 152.375 2.96030809898988e-05
624640 152.5 2.96087615599095e-05
625152 152.625 2.9614664695546e-05
625664 152.75 2.96204932373082e-05
626176 152.875 2.96264620322204e-05
626688 153 2.96327550017053e-05
627200 153.125 2.96381986989872e-05
627712 153.25 2.96420731747396e-05
628224 153.375 2.96448844386958e-05
628736 153.5 2.96485656024232e-05
629248 153.625 2.96537320341827e-05
629760 153.75 2.96592654140736e-05
630272 153.875 2.9664276794641e-05
630784 154 2.96690772133544e-05
631296 154.125 2.96744316262875e-05
631808 154.25 2.96794404346762e-05
632320 154.375 2.96827917157691e-05
632832 154.5 2.96849421066287e-05
633344 154.625 2.96880754608171e-05
633856 154.75 2.96928076985689e-05
634368 154.875 2.96979072114643e-05
634880 155 2.97023722897235e-05
635392 155.125 2.9706575213481e-05
635904 155.25 2.97113845359565e-05
636416 155.375 2.97157491150087e-05
636928 155.5 2.97184458648096e-05
637440 155.625 2.97202061872337e-05
637952 155.75 2.97231436734654e-05
638464 155.875 2.97276276892475e-05
638976 156 2.97320995572202e-05
639488 156.125 2.97355464056668e-05
640000 156.25 2.97387442203486e-05
640512 156.375 2.97424851076251e-05
641024 156.5 2.97455445119362e-05
641536 156.625 2.97471695535468e-05
642048 156.75 2.97484798078975e-05
642560 156.875 2.97511143330799e-05
643072 157 2.9754915888467e-05
643584 157.125 2.9758409374905e-05
644096 157.25 2.97610008575625e-05
644608 157.375 2.97636390545392e-05
645120 157.5 2.97663747397384e-05
645632 157.625 2.97681351866835e-05
646144 157.75 2.97687294013992e-05
646656 157.875 2.97696104624122e-05
647168 158 2.97717683269474e-05
