# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
22016 5.375 89.0861595732539 86.983686584147 223.198844909668 217.205456972122 213.389633893967 0 9.82803010940552 129 484174.170695434 484174.170695434 105165272 105165272 396584.658603011 396584.658603011 86140352 86140352 248.541905775864 3205883.62811886 8023.98886862695 3197859.63925024 2442 31447402 78922 31368480 0 0 0 0 222.743419885635 1688998557.12236 27743
22528 5.5 89.3508207843264 87.0261485109912 227.591799974442 221.598412036896 217.632250547409 0 10.0344004631042 132 485612.577323356 485612.577323356 107610976 107610976 397762.850328206 397762.850328206 88143616 88143616 253.425119127306 3298181.43287105 8056.68977174889 3290124.7430993 2588 34300606 80446 34220160 0 0 0 0 227.125845193863 1688998561.51531 28382
23040 5.625 89.2478126894396 87.0718779769593 232.889704942703 226.896317005157 222.77867102623 0 10.1303980350494 135 485052.738857363 485052.738857363 110056680 110056680 397304.289421106 397304.289421106 90146880 90146880 258.13383888938 3392519.52702025 8082.25950729507 3384437.26751295 2614 34302091 81931 34220160 0 0 0 0 232.413213253021 1688998566.81322 29021
23552 5.75 89.4649707001143 87.1140935534584 237.368861913681 231.375473976135 227.163114547729 0 10.2249274253845 138 486232.970447005 486232.970447005 112502384 112502384 398271.011254653 398271.011254653 92150144 92150144 258.285836938727 3361185.49381726 8157.16840863012 3353028.32540863 2640 34303618 83458 34220160 0 0 0 0 236.882018566132 1688998571.29237 29660
24064 5.875 89.712533124564 87.1579358531506 241.746401071548 235.753013134003 231.445944786072 0 10.3194279670715 141 487578.446917508 487578.446917508 114948088 114948088 399373.084349437 399373.084349437 94153408 94153408 258.435153377947 3330427.0266521 8228.56751690758 3322198.45913519 2666 34305131 84971 34220160 0 0 0 0 241.249245643616 1688998575.66991 30299
24576 6 89.9381037752779 87.205234712139 246.158558130264 240.165170192719 235.708600282669 0 10.5252764225006 144 488804.400345805 488804.400345805 117393792 117393792 400377.256713952 400377.256713952 96156672 96156672 262.967567915346 3416868.61523722 8257.73665870414 3408610.87857852 2812 37158330 86490 37071840 0 0 0 0 245.649901628494 1688998580.08207 30938
25088 6.125 89.7619263959819 87.2576839446216 251.643196105957 245.649808168411 241.044187784195 0 10.6337804794312 147 487846.894298574 487846.894298574 119839496 119839496 399592.968266045 399592.968266045 98159936 98159936 267.383505509773 3505947.33695069 8276.71772083445 3497670.61922986 2838 37159778 87938 37071840 0 0 0 0 251.125070095062 1688998585.56671 31577
25600 6.25 89.9695718963715 87.3020868910985 256.077939033508 250.084551095963 245.370048999786 0 10.7267410755157 150 488975.426367208 488975.426367208 122285200 122285200 400517.343278695 400517.343278695 100163200 100163200 267.092769069641 3470440.75751339 8335.72251105525 3462105.03500234 2864 37161307 89467 37071840 0 0 0 0 255.549374103546 1688998590.00145 32216
26112 6.375 90.1462620698965 87.3485828574168 260.579651117325 254.586263179779 249.779325723648 0 10.8211543560028 153 489935.719398654 489935.719398654 124730904 124730904 401303.914531531 401303.914531531 102166464 102166464 267.214171314659 3440877.81112202 8403.45051577215 3432474.36060624 2890 37162812 90972 37071840 0 0 0 0 260.040708065033 1688998594.50316 32855
26624 6.5 90.3426055709152 87.396343233973 265.007391929626 259.014003992081 254.055283069611 0 11.0303719043732 156 491002.826256021 491002.826256021 127176608 127176608 402177.976458697 402177.976458697 104169728 104169728 271.363263275279 3521131.36318334 8427.05283335417 3512704.31034998 3036 40016018 92498 39923520 0 0 0 0 264.457937479019 1688998598.9309 33494
