# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
388608 94.875 1.07097517946997
389120 95 1.07137388340108
389632 95.125 1.07170938345722
390144 95.25 1.07199042516303
390656 95.375 1.07222365813169
391168 95.5 1.07242096788581
391680 95.625 1.07258757501878
392192 95.75 1.07271943146201
392704 95.875 1.07282228475574
393216 96 1.07290914352393
393728 96.125 1.07297894699302
394240 96.25 1.07302443272342
394752 96.375 1.07301354728003
395264 96.5 1.07266443661803
395776 96.625 1.07192125282456
396288 96.75 1.07141822926522
396800 96.875 1.07085419375459
397312 97 1.07019138709865
397824 97.125 1.06939608389939
398336 97.25 1.06846629312482
398848 97.375 1.06875147550869
399360 97.5 1.069036654989
399872 97.625 1.06933668211817
400384 97.75 1.06962864986666
400896 97.875 1.06988217628472
401408 98 1.07001876662522
401920 98.125 1.0698106371103
402432 98.25 1.0689764509187
402944 98.375 1.06775954713118
403456 98.5 1.06769679861922
403968 98.625 1.06752877501439
404480 98.75 1.06726016233482
404992 98.875 1.0669037032942
405504 99 1.06647558328725
406016 99.125 1.06614945238414
406528 99.25 1.06667955820214
407040 99.375 1.06709775649361
407552 99.5 1.06736755688765
408064 99.625 1.0674322215634
408576 99.75 1.06715691019245
409088 99.875 1.06655113244206
409600 100 1.06553000104288
410112 100.125 1.06393883944621
410624 100.25 1.06358523168874
411136 100.375 1.06327917931595
411648 100.5 1.06351894878548
412160 100.625 1.06370337579323
412672 100.75 1.06381016875477
413184 100.875 1.06376771773092
413696 101 1.06356695057044
414208 101.125 1.06342670469708
414720 101.25 1.06358706528707
415232 101.375 1.06366271594841
415744 101.5 1.06364531777477
416256 101.625 1.06348681593382
416768 101.75 1.06318136568617
417280 101.875 1.06299022634723
417792 102 1.06343406550046
418304 102.125 1.06381532743137
418816 102.25 1.06411743932053
419328 102.375 1.06431899738415
419840 102.5 1.06440929168602
420352 102.625 1.06432815966775
420864 102.75 1.06404896888295
421376 102.875 1.06356746077432
421888 103 1.06289708185461
422400 103.125 1.06205015515255
422912 103.25 1.06105499876172
423424 103.375 1.06092805385782
423936 103.5 1.06091020443533
424448 103.625 1.06076310362396
424960 103.75 1.06093271093107
425472 103.875 1.06109695803475
425984 104 1.06109093280912
426496 104.125 1.06094432641065
427008 104.25 1.06148720603816
427520 104.375 1.06203987315348
428032 104.5 1.0626674227809
428544 104.625 1.06324734038024
429056 104.75 1.06375695872559
429568 104.875 1.06415889738558
430080 105 1.06396686777092
430592 105.125 1.06412027209904
431104 105.25 1.06411352774899
431616 105.375 1.06408202760896
432128 105.5 1.06409408399524
432640 105.625 1.06419847431504
433152 105.75 1.06472363776587
433664 105.875 1.06523770395292
434176 106 1.06574099055447
434688 106.125 1.0662328732698
435200 106.25 1.06671078340184
435712 106.375 1.06716752398853
436224 106.5 1.06759776340793
436736 106.625 1.06799818578347
437248 106.75 1.06836226660404
437760 106.875 1.06867242859852
438272 107 1.06890779869175
438784 107.125 1.06904657244099
439296 107.25 1.06906026143449
439808 107.375 1.06893085697288
440320 107.5 1.06919883030204
440832 107.625 1.06976844443281
441344 107.75 1.07031114773915
441856 107.875 1.07082084883576
442368 108 1.07129408489407
442880 108.125 1.0717268470289
