# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::alp (admbase-lapse)
# 1:iteration 2:time 3:data
# data columns: 3:alp
428032 104.5 0.967572510164233
428544 104.625 0.967573187630011
429056 104.75 0.967573880756229
429568 104.875 0.967574597738889
430080 105 0.967575343200709
430592 105.125 0.967576117417588
431104 105.25 0.967576916501625
431616 105.375 0.967577733524549
432128 105.5 0.967578560254867
432640 105.625 0.967579388977715
433152 105.75 0.967580213936859
433664 105.875 0.967581032239215
434176 106 0.967581844343916
434688 106.125 0.967582654276052
435200 106.25 0.967583469452587
435712 106.375 0.967584299752858
436224 106.5 0.967585155539047
436736 106.625 0.96758604482957
437248 106.75 0.96758697048672
437760 106.875 0.967587928637874
438272 107 0.967588909281647
438784 107.125 0.96758989919212
439296 107.25 0.967590886237387
439808 107.375 0.967591863577908
440320 107.5 0.967592832205589
440832 107.625 0.967593800890092
441344 107.75 0.967594783523653
441856 107.875 0.967595794740336
442368 108 0.967596845250804
442880 108.125 0.9675979384299
443392 108.25 0.967599069296225
443904 108.375 0.96760022623075
444416 108.5 0.967601394833542
