# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
242688 59.25 1.50620124934229
243200 59.375 1.50620126676759
243712 59.5 1.50620128419552
244224 59.625 1.50620130161161
244736 59.75 1.50620131899038
245248 59.875 1.50620133634283
245760 60 1.50620135369066
246272 60.125 1.50620137102928
246784 60.25 1.5062013883909
247296 60.375 1.50620140576531
247808 60.5 1.50620142314644
248320 60.625 1.50620144055828
248832 60.75 1.50620145798015
249344 60.875 1.50620147536214
249856 61 1.50620149273373
250368 61.125 1.5062015100662
250880 61.25 1.50620152739563
251392 61.375 1.50620154473528
251904 61.5 1.50620156210683
252416 61.625 1.50620157944633
252928 61.75 1.506201596817
253440 61.875 1.50620161418692
253952 62 1.5062016315669
254464 62.125 1.50620164894742
254976 62.25 1.5062016663162
255488 62.375 1.50620168368204
256000 62.5 1.50620170102786
256512 62.625 1.50620171838396
257024 62.75 1.50620173578724
257536 62.875 1.5062017531862
258048 63 1.50620177061239
258560 63.125 1.50620178804878
259072 63.25 1.50620180546027
259584 63.375 1.50620182288255
260096 63.5 1.50620184031957
260608 63.625 1.50620185777587
261120 63.75 1.50620187524895
261632 63.875 1.50620189272254
262144 64 1.50620191020102
262656 64.125 1.50620192767521
263168 64.25 1.50620194514312
263680 64.375 1.50620196259606
264192 64.5 1.50620197999837
264704 64.625 1.5062019974063
265216 64.75 1.50620201483268
265728 64.875 1.50620203231647
266240 65 1.50620204980562
266752 65.125 1.50620206731879
267264 65.25 1.50620208489731
267776 65.375 1.50620210253297
268288 65.5 1.50620212015468
268800 65.625 1.50620213772133
269312 65.75 1.50620215525197
269824 65.875 1.5062021727569
270336 66 1.50620219030931
270848 66.125 1.5062022079058
271360 66.25 1.50620222555277
271872 66.375 1.50620224324903
