# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::eps (hydrobase-eps)
# 1:iteration 2:time 3:data
# data columns: 3:eps
263168 64.25 8.99999999999999e-09
263680 64.375 8.99999999999999e-09
264192 64.5 8.99999999999999e-09
264704 64.625 8.99999999999999e-09
265216 64.75 8.99999999999999e-09
265728 64.875 8.99999999999999e-09
266240 65 8.99999999999999e-09
266752 65.125 8.99999999999999e-09
267264 65.25 8.99999999999999e-09
267776 65.375 8.99999999999999e-09
268288 65.5 8.99999999999999e-09
268800 65.625 8.99999999999999e-09
269312 65.75 8.99999999999999e-09
269824 65.875 8.99999999999999e-09
270336 66 8.99999999999999e-09
270848 66.125 8.99999999999999e-09
271360 66.25 8.99999999999999e-09
271872 66.375 8.99999999999999e-09
272384 66.5 8.99999999999999e-09
272896 66.625 8.99999999999999e-09
273408 66.75 8.99999999999999e-09
273920 66.875 8.99999999999999e-09
274432 67 8.99999999999999e-09
274944 67.125 8.99999999999999e-09
275456 67.25 8.99999999999999e-09
275968 67.375 8.99999999999999e-09
276480 67.5 8.99999999999999e-09
276992 67.625 8.99999999999999e-09
277504 67.75 8.99999999999999e-09
278016 67.875 8.99999999999999e-09
278528 68 8.99999999999999e-09
279040 68.125 8.99999999999999e-09
279552 68.25 8.99999999999999e-09
280064 68.375 8.99999999999999e-09
280576 68.5 8.99999999999999e-09
281088 68.625 8.99999999999999e-09
281600 68.75 8.99999999999999e-09
282112 68.875 8.99999999999999e-09
282624 69 8.99999999999999e-09
283136 69.125 8.99999999999999e-09
283648 69.25 8.99999999999999e-09
284160 69.375 8.99999999999999e-09
284672 69.5 8.99999999999999e-09
285184 69.625 8.99999999999999e-09
285696 69.75 8.99999999999999e-09
286208 69.875 8.99999999999999e-09
286720 70 8.99999999999999e-09
287232 70.125 8.99999999999999e-09
287744 70.25 8.99999999999999e-09
288256 70.375 8.99999999999999e-09
288768 70.5 8.99999999999999e-09
289280 70.625 8.99999999999999e-09
289792 70.75 8.99999999999999e-09
290304 70.875 8.99999999999999e-09
290816 71 8.99999999999999e-09
291328 71.125 8.99999999999999e-09
291840 71.25 8.99999999999999e-09
292352 71.375 8.99999999999999e-09
292864 71.5 8.99999999999999e-09
293376 71.625 8.99999999999999e-09
293888 71.75 8.99999999999999e-09
294400 71.875 8.99999999999999e-09
294912 72 8.99999999999999e-09
295424 72.125 8.99999999999999e-09
295936 72.25 8.99999999999999e-09
296448 72.375 8.99999999999999e-09
296960 72.5 8.99999999999999e-09
297472 72.625 8.99999999999999e-09
297984 72.75 8.99999999999999e-09
298496 72.875 8.99999999999999e-09
299008 73 8.99999999999999e-09
299520 73.125 8.99999999999999e-09
300032 73.25 8.99999999999999e-09
300544 73.375 8.99999999999999e-09
301056 73.5 8.99999999999999e-09
301568 73.625 8.99999999999999e-09
302080 73.75 8.99999999999999e-09
302592 73.875 8.99999999999999e-09
303104 74 8.99999999999999e-09
303616 74.125 8.99999999999999e-09
304128 74.25 8.99999999999999e-09
304640 74.375 8.99999999999999e-09
305152 74.5 8.99999999999999e-09
305664 74.625 8.99999999999999e-09
306176 74.75 8.99999999999999e-09
306688 74.875 8.99999999999999e-09
307200 75 8.99999999999999e-09
307712 75.125 8.99999999999999e-09
308224 75.25 8.99999999999999e-09
308736 75.375 8.99999999999999e-09
309248 75.5 8.99999999999999e-09
309760 75.625 8.99999999999999e-09
310272 75.75 8.99999999999999e-09
310784 75.875 8.99999999999999e-09
311296 76 8.99999999999999e-09
311808 76.125 8.99999999999999e-09
312320 76.25 8.99999999999999e-09
312832 76.375 8.99999999999999e-09
313344 76.5 8.99999999999999e-09
313856 76.625 8.99999999999999e-09
314368 76.75 8.99999999999999e-09
314880 76.875 8.99999999999999e-09
315392 77 8.99999999999999e-09
315904 77.125 8.99999999999999e-09
316416 77.25 8.99999999999999e-09
316928 77.375 8.99999999999999e-09
317440 77.5 8.99999999999999e-09
317952 77.625 8.99999999999999e-09
318464 77.75 8.99999999999999e-09
318976 77.875 8.99999999999999e-09
319488 78 8.99999999999999e-09
320000 78.125 8.99999999999999e-09
320512 78.25 8.99999999999999e-09
321024 78.375 8.99999999999999e-09
321536 78.5 8.99999999999999e-09
322048 78.625 8.99999999999999e-09
322560 78.75 8.99999999999999e-09
323072 78.875 8.99999999999999e-09
323584 79 8.99999999999999e-09
324096 79.125 8.99999999999999e-09
324608 79.25 8.99999999999999e-09
325120 79.375 8.99999999999999e-09
325632 79.5 8.99999999999999e-09
326144 79.625 8.99999999999999e-09
326656 79.75 8.99999999999999e-09
327168 79.875 8.99999999999999e-09
327680 80 8.99999999999999e-09
328192 80.125 8.99999999999999e-09
328704 80.25 8.99999999999999e-09
