# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
72704 17.75 -0.131842202084825 -0.131843204047196 -0.131842279087927
73216 17.875 -0.132562527888616 -0.132563509364937 -0.132562604305773
73728 18 -0.133260387225184 -0.13326134729226 -0.133260463332848
74240 18.125 -0.1339349417922 -0.133935879409679 -0.133935017684641
74752 18.25 -0.134585298443966 -0.13458621242101 -0.134585374086986
75264 18.375 -0.13521048193853 -0.135211370756454 -0.135210557205769
75776 18.5 -0.135809391774417 -0.135810253641624 -0.135809466478566
76288 18.625 -0.136380832042729 -0.136381664936158 -0.136380905949993
76800 18.75 -0.137014036369359 -0.137013961839311 -0.137014067520836
77312 18.875 -0.137628678747217 -0.137628608266824 -0.137628709479508
77824 19 -0.138214625900039 -0.138214559752277 -0.138214656235196
78336 19.125 -0.138770589606393 -0.138770528724435 -0.138770619595537
78848 19.25 -0.139313435174954 -0.139313428332251 -0.139313432631854
79360 19.375 -0.1398418012048 -0.139841794585354 -0.139841798278661
79872 19.5 -0.140336399138692 -0.140336392626708 -0.140336395840659
80384 19.625 -0.14079548882355 -0.140795482057748 -0.140795485167551
80896 19.75 -0.141217201571089 -0.141217193912936 -0.141217197574264
81408 19.875 -0.141599424100291 -0.141599414694977 -0.141599419782488
81920 20 -0.141939844797343 -0.141939832602086 -0.141939840180106
82432 20.125 -0.142238754983696 -0.142238941651785 -0.142238756203051
82944 20.25 -0.142687828891712 -0.142688008587959 -0.14268783027108
83456 20.375 -0.143095605759923 -0.143095777280938 -0.143095607154248
83968 20.5 -0.143459685936032 -0.143459848543927 -0.143459687241274
84480 20.625 -0.143777475873004 -0.143777629110619 -0.143777477007552
84992 20.75 -0.144046178821387 -0.14404632241066 -0.14404617971411
85504 20.875 -0.144262786904205 -0.144262920714229 -0.144262787483169
86016 21 -0.144631623346996 -0.144630937573522 -0.14463163349729
86528 21.125 -0.145013332838781 -0.145012168808194 -0.145013341964844
87040 21.25 -0.145438923382684 -0.145438933047433 -0.145438903233888
87552 21.375 -0.145817665556773 -0.145817675268085 -0.145817645804986
88064 21.5 -0.146141998883719 -0.146142008701655 -0.146141979559193
88576 21.625 -0.146408442797163 -0.146408452769815 -0.146408423935032
89088 21.75 -0.146868724753442 -0.146868726417656 -0.146868521886494
89600 21.875 -0.147338078791485 -0.147338080628043 -0.147337878454068
90112 22 -0.147752710735936 -0.147752712585712 -0.147752512958677
90624 22.125 -0.148108826807886 -0.148108828644501 -0.148108631724229
91136 22.25 -0.148536086583348 -0.148536086403682 -0.148536086233593
91648 22.375 -0.149105167995661 -0.149105167794323 -0.149105167600485
92160 22.5 -0.149619694945606 -0.149619694724523 -0.149619694505843
92672 22.625 -0.150075492911278 -0.150075492669916 -0.150075492428228
93184 22.75 -0.15046802954634 -0.150468029283091 -0.150468029020537
93696 22.875 -0.150792400771949 -0.150792400488151 -0.150792400202922
94208 23 -0.151043332604326 -0.151043332301354 -0.15104333199109
94720 23.125 -0.151215195825058 -0.151215195501401 -0.151215195167163
95232 23.25 -0.151302041041351 -0.151302040696847 -0.151302040340132
95744 23.375 -0.15129765130819 -0.151297650946221 -0.151297650567522
96256 23.5 -0.151195599419333 -0.151195599038761 -0.151195598637234
96768 23.625 -0.150989336109141 -0.150989335707243 -0.150989335284433
97280 23.75 -0.150672317695578 -0.150672317272478 -0.150672316828204
97792 23.875 -0.150237890598357 -0.150237890157026 -0.150237889689173
98304 24 -0.149679749502249 -0.149679749044922 -0.149679748552793
98816 24.125 -0.148993621562739 -0.148993621090168 -0.148993620576091
99328 24.25 -0.148177052178054 -0.148177051690315 -0.148177051158495
99840 24.375 -0.147585625672647 -0.147479141638375 -0.147498416289401
100352 24.5 -0.147591107550682 -0.147468658275785 -0.147487944304344
100864 24.625 -0.147518962843454 -0.147376152707024 -0.147513742174826
101376 24.75 -0.147916755233068 -0.147669976897132 -0.147917098223906
101888 24.875 -0.148408105395415 -0.148002144066158 -0.148245891257255
102400 25 -0.14884160043093 -0.148254418030566 -0.148495169223268
102912 25.125 -0.149020445717847 -0.148420753430166 -0.148658505511676
103424 25.25 -0.149088650240147 -0.148706848333458 -0.148728059696767
103936 25.375 -0.14909299474576 -0.14918570779158 -0.14908928887484
104448 25.5 -0.149685437475087 -0.149685321600455 -0.149681403655281
104960 25.625 -0.150470925115922 -0.150470680590648 -0.150466236878153
105472 25.75 -0.151213543182818 -0.151213307868063 -0.151208249568562
105984 25.875 -0.151910919552162 -0.151910700626593 -0.151905011365064
106496 26 -0.152560239747271 -0.152560039748076 -0.152553720587996
107008 26.125 -0.153158393975797 -0.153158216086837 -0.153151281330938
107520 26.25 -0.153701888503051 -0.153701736539902 -0.153694217119062
108032 26.375 -0.154403883881145 -0.154403939531042 -0.154404406889377
108544 26.5 -0.155334593404648 -0.155334518485326 -0.155332696681199
109056 26.625 -0.156238372155849 -0.15623827366829 -0.156236313795717
109568 26.75 -0.157104887960064 -0.157104738084843 -0.157102324169724
110080 26.875 -0.157932451905993 -0.157932212740431 -0.157929385547048
110592 27 -0.158719167608251 -0.158718800346483 -0.158715654161389
111104 27.125 -0.159462985138708 -0.159462447576608 -0.15945908316887
111616 27.25 -0.160161672922119 -0.160160919963438 -0.160157443095933
112128 27.375 -0.160812786071094 -0.160811772043444 -0.160808301978886
112640 27.5 -0.161559845006366 -0.161543021060988 -0.161556328598246
113152 27.625 -0.162352033742949 -0.162303756901568 -0.162348769644423
113664 27.75 -0.163092463047467 -0.163041123978665 -0.163089471300719
114176 27.875 -0.163777098529045 -0.163722640251524 -0.163774354102848
114688 28 -0.164401658856379 -0.164344319006097 -0.164399127055379
115200 28.125 -0.164961783348065 -0.164902097135945 -0.164959415602713
115712 28.25 -0.165453050626183 -0.165391796204992 -0.165450788809685
116224 28.375 -0.165953731717009 -0.165957129917387 -0.165954327057244
116736 28.5 -0.166517618421682 -0.166520130002208 -0.166516014783669
117248 28.625 -0.167290075477455 -0.167303299964901 -0.167290100909792
117760 28.75 -0.168023577190414 -0.168036574507562 -0.168023599624662
118272 28.875 -0.168704880390195 -0.168715632014221 -0.16870502565878
118784 29 -0.169639294874904 -0.169639414246003 -0.169639515665001
119296 29.125 -0.170524272728026 -0.170524445231795 -0.170524589579724
119808 29.25 -0.171355166010084 -0.171355402935363 -0.171355599321976
120320 29.375 -0.172127665743183 -0.172127978004416 -0.172128234659717
120832 29.5 -0.172838023620076 -0.172838419485389 -0.172838742354857
121344 29.625 -0.173483243871296 -0.173483726557979 -0.173484118343273
121856 29.75 -0.174061232494904 -0.174061799227642 -0.174062258652602
122368 29.875 -0.174570638770243 -0.174571283110763 -0.174571805863892
122880 30 -0.175010549019364 -0.175011261323415 -0.175011840341967
123392 30.125 -0.175380559638541 -0.175381326591229 -0.1753819518101
123904 30.25 -0.175680873429389 -0.175681676269652 -0.175682332925541
124416 30.375 -0.175912313413034 -0.17591312811162 -0.175913792093249
124928 30.5 -0.176076241267405 -0.176077040456804 -0.176077688414158
125440 30.625 -0.17617432349946 -0.176175076012271 -0.176175681384872
125952 30.75 -0.176208346297009 -0.176209015353633 -0.176209549732765
126464 30.875 -0.176240110773275 -0.176248845456186 -0.176249911201555
126976 31 -0.176258053391524 -0.17626670225819 -0.176267848811245
127488 31.125 -0.176215413195652 -0.176223732281309 -0.176224901060545
128000 31.25 -0.176111925582539 -0.176119607174464 -0.176120759605397
128512 31.375 -0.175948930721733 -0.175955600028201 -0.175956782356347
129024 31.5 -0.175742953392894 -0.17574925183645 -0.175750939972252
129536 31.625 -0.175493098455695 -0.175497983737532 -0.175500767502578
130048 31.75 -0.175210060632205 -0.175212626734968 -0.17521660937836
130560 31.875 -0.174904698973973 -0.174904124696314 -0.174909293953829
131072 32 -0.174586477422909 -0.174581635635087 -0.174588513475117
131584 32.125 -0.174254313722032 -0.174244993766136 -0.174253190323405
132096 32.25 -0.173919097395913 -0.173908415713029 -0.173913756778971
132608 32.375 -0.173611284320292 -0.173601965175049 -0.173599392454329
133120 32.5 -0.173393658694642 -0.173375951690697 -0.173394893911082
133632 32.625 -0.174465142441631 -0.174332818007222 -0.174465981407013
134144 32.75 -0.174854663999341 -0.174721055890941 -0.174853947836443
134656 32.875 -0.17519392957677 -0.175191254844494 -0.175196022290464
135168 33 -0.176130776987448 -0.176128135056312 -0.176132883061942
135680 33.125 -0.177017662055003 -0.177015045518026 -0.177019788245997
136192 33.25 -0.177850288756187 -0.177847696246282 -0.177852443718002
136704 33.375 -0.178623637621297 -0.178621095477471 -0.178625860094064
137216 33.5 -0.179331284515099 -0.17932871894686 -0.179333517167849
137728 33.625 -0.179965553030619 -0.17996285052976 -0.179967714467531
138240 33.75 -0.180616797596092 -0.180630248826342 -0.18061751282625
