# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
172544 42.125 0.00411920784301328 0.00411920789176231 0.00411920789166853
173056 42.25 0.00412583067148857 0.00412583071546995 0.00412583069394365
173568 42.375 0.00413255929993828 0.00413255934648859 0.00413255931024753
174080 42.5 0.00413942059740597 0.00413942064836957 0.00413942062039496
174592 42.625 0.00414636533178091 0.00414636538151571 0.00414636538770245
175104 42.75 0.00415327803105317 0.00415327807993175 0.00415327812824867
175616 42.875 0.00416002363792067 0.004160023698553 0.00416002377234991
176128 43 0.00416651459171413 0.00416651467301018 0.0041665147411855
176640 43.125 0.00417275346632478 0.00417275355472633 0.00417275359047409
177152 43.25 0.00417882504038835 0.00417882510886096 0.00417882510824663
177664 43.375 0.00418485117692583 0.00418485121789762 0.00418485120130365
178176 43.5 0.00419093603038961 0.00419093607307779 0.00419093605774621
178688 43.625 0.00419712177508361 0.0041971218615833 0.00419712183244717
179200 43.75 0.00420337054411129 0.00420337068658297 0.00420337061084588
179712 43.875 0.00420958162337886 0.00420958178840431 0.00420958166406394
180224 44 0.00421563487514401 0.00421563501385785 0.00421563488527959
180736 44.125 0.00422143797445268 0.00422143806778494 0.00422143798328379
181248 44.25 0.00422695825367596 0.00422695832515843 0.00422695829505144
181760 44.375 0.00423222910294441 0.00423222919014933 0.00423222919580983
182272 44.5 0.00423733067666323 0.00423733080028408 0.00423733082759048
182784 44.625 0.00424235818636283 0.00424235834698187 0.00424235839912031
183296 44.75 0.0042473944690892 0.00424739465280427 0.00424739474160703
183808 44.875 0.00425248712959684 0.00425248729993892 0.00425248743151944
184320 45 0.00425762264449941 0.00425762274618308 0.00425762290741179
184832 45.125 0.0042627130103962 0.00426271301370395 0.00426271317642555
185344 45.25 0.00426762684849448 0.0042676267945342 0.00426762694486936
185856 45.375 0.00427226234990634 0.00427226232806841 0.00427226248159383
186368 45.5 0.00427660906070224 0.00427660912659484 0.00427660929644643
186880 45.625 0.00428074986132841 0.00428074998537874 0.00428075014405877
187392 45.75 0.00428480974883742 0.00428480985716599 0.00428480994832987
187904 45.875 0.00428889419016334 0.00428889425468469 0.00428889424063492
188416 46 0.00429304762235365 0.00429304769849696 0.00429304759753761
188928 46.125 0.00429723958941735 0.00429723975271842 0.00429723965101526
189440 46.25 0.00430137950331809 0.00430137975211943 0.00430137977289893
